HTSUS CODE,DESCRIPTION,Duty,Which List?,Information,Additional HTSUS
4010.36.45,"Endless synchronous transmission belt of vulcan. rubber, circum. 150?198cm, combined w/manmade fiber exceeding other fiber, width n/o 20 cm",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4010.36.50,"Endless synchronous transmission belts of vulcanized rubber, circumference 150 to 198 cm, combined with textile materials nesoi",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4010.36.90,"Endless synchronous transmission belts of vulcanized rubber, circumference 150 to 198 cm, other than combined with textile materials",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4010.39.10,"Transmission V?belts and V?belting of vulcanized rubber, nesoi, combined with textile materials",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4010.39.20,"Transmission V?belts and V?belting of vulcanized rubber, nesoi, other than combined with textile materials",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4010.39.30,"Transmission belts or belting of vulcanized rubber, nesoi, combined with textile materials in which vegetable fiber predominate other fibers",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4010.39.41,"Transmission belts or belting of vulcanized rubber, nesoi, combined w. textile materials with man?made fibers predominant, width over 20 cm",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4010.39.45,"Transmission belts or belting of vulcanized rubber, nesoi, combined w. textile materials with man?made fibers predominant, width n/o 20 cm",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4010.39.50,"Transmission belts or belting of vulcanized rubber, nesoi, combined with textile materials nesoi",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4010.39.90,"Transmission belts or belting of vulcanized rubber, nesoi, other than combined with textile materials",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4011.10.10,"New pneumatic radial tires, of rubber, of a kind used on motor cars (including station wagons and racing cars)",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4011.10.50,"New pneumatic tires excluding radials, of rubber, of a kind used on motor cars (including station wagons and racing cars)",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4011.20.10,"New pneumatic radial tires, of rubber, of a kind used on buses or trucks",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4011.20.50,"New pneumatic tires excluding radials, of rubber, of a kind used on buses or trucks",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4011.40.00,"New pneumatic tires, of rubber, of a kind used on motorcycles",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4011.50.00,"New pneumatic tires, of rubber, of a kind used on bicycles

EXCLUSIONS AVAILABLE: 
See the full list of exclusions below.",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4011.70.00,New pneumatic tires of a kind used on agricultural or forestry vehicles and machines,25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4011.80.10,"New pneumatic tires of a kind used on construction, mining or industrial handling vehicles and machines having a herring?bone or similar tread",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4011.80.20,"New pneumatic tires of a kind used on construction, mining or industrial handling vehicles and machines having a radial tread",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4011.80.80,"New pneumatic tires of a kind used on construction, mining or industrial handling vehicles and machines, other",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4011.90.10,"New pneumatic tires, of a kind NESOI, have a herring?bone or similar tread

EXCLUSIONS AVAILABLE: 
See the full list of exclusions below.",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4011.90.20,"New pneumatic tires, of a kind NESOI, have a radial tread

EXCLUSIONS AVAILABLE: 
See the full list of exclusions below.",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4011.90.80,"New pneumatic tires, NESOI

EXCLUSIONS AVAILABLE: 
See the full list of exclusions below.",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4012.11.40,"Retreaded radial pnuematic tires, of rubber, of a kind used on motor cars (including station wagons and racing cars)",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4012.11.80,"Retreaded pnuematic tires (nonradials), of rubber, of a kind used on motor cars (including station wagons and racing cars)",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4012.12.40,"Retreaded pnuematic radial tires, of rubber, of a kind used on buses or trucks",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4012.12.80,"Retreaded pnuematic tires (nonradials), of rubber, of a kind used on buses or trucks",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4012.19.20,"Retreaded pneumatic tires, of rubber, designed for certain agricultural or horticultural machinery",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4012.19.40,"Retreaded pnuematic radial tires, of rubber, not elsewhere specified or included",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4012.20.10,"Used pneumatic tires of rubber, for aircraft",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4012.20.15,"Used pneumatic tires of rubber, designed for certain agricultural or horticultural machinery,for on?highway trasnport of passengers or goods",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4012.20.45,"Used pneumatic tires of rubber, designed for certain agricultural or horticultural machinery, nesoi",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4012.20.60,"Used pneumatic tires, of rubber, for vehicles for on?highway transport of passengers or goods nesoi, or vehicles of heading 8705",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4012.20.80,"Used pneumatic tires, of rubber for machinery, nesoi",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4012.90.10,Solid or cushion tires of rubber,25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4012.90.30,Bicycle rim strips of natural rubber,25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4012.90.45,"Interchangeable tire treads and tire flaps, of natural rubber, nesoi",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4012.90.70,Bicycle rim strips of rubber other than of natural rubber,25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4012.90.90,"Interchangeable tire treads and tire flaps, of rubber other than natural rubber, except bicycle rim strips, nesoi",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4013.10.00,"Inner tubes of rubber, of a kind used on motor cars (including station wagons and racing cars), buses or trucks",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4013.20.00,"Inner tubes of rubber, of a kind used on bicycles",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4013.90.10,Inner tubes of rubber designed for tires used on certain agricultural or horticultural machinery,25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4013.90.50,Inner tubes of rubber for vehicles nesoi,25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4015.19.10,"Seamless gloves of vulcanized rubber other than hard rubber, other than surgical or medical gloves

EXCLUSIONS AVAILABLE: 
See the full list of exclusions below.",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4015.19.50,"Nonseamless gloves of vulcanized rubber other than hard rubber, other than surgical or medical gloves",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4015.90.00,"Articles of apparel and clothing accessories, excluding gloves, of vulcanized rubber other than hard rubber",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4016.10.00,Articles of vulcanized cellular rubber other than hard rubber,25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
4016.91.00,"Floor covering and mats, of noncellular vulcanized rubber other than hard rubber

EXCLUSIONS AVAILABLE: 
See the full list of exclusions below.",25%,"Yes, List 3","On September 24, 2018, an additional tariff of 10% was imposed on commodities included on List 3. However, this additional tariff has increased to 25% on May 10, 2019. This list originally contained 5,745 items valued at $200 billion worth of Chinese imports. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 2 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03 (or) 9903.88.18
