HTSUS CODE,DESCRIPTION,Duty,Which List?,Information,Additional HTSUS
8408.90.90,"Compression-ignition internal-combustion piston engines, for machinery or equipment, nesoi

EXCLUSIONS AVAILABLE: 
See the full list of exclusions below.",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.26
8409.10.00,Parts for internal combustion aircraft engines,25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.27
8410.11.00,"Hydraulic turbines and water wheels of a power not exceeding 1,000 kW",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.28
8410.12.00,"Hydraulic turbines and water wheels of a power exceeding 1,000 kW but not exceeding 10,000 kW",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.29
8410.13.00,"Hydraulic turbines and water wheels of a power exceeding 10,000 kW",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.30
8410.90.00,"Parts, including regulators, of hydraulic turbines and water wheels",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.31
8411.11.40,Aircraft turbojets of a thrust not exceeding 25 kN,25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.32
8411.11.80,"Turbojets of a thrust not exceeding 25 kN, other than aircraft",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.33
8411.12.40,Aircraft turbojets of a thrust exceeding 25 kN,25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.34
8411.12.80,"Turbojets of a thrust exceeding 25 kN, other than aircraft",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.35
